Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2023,2023-01-01,08013,Residencial,De 00:00:00 a 05:59:59 h,33825
2023,2023-01-01,08013,Residencial,De 06:00:00 a 11:59:59 h,35526
2023,2023-01-01,08013,Residencial,De 12:00:00 a 17:59:59 h,54267
2023,2023-01-01,08013,Residencial,De 18:00:00 a 23:59:59 h,58830
2023,2023-01-01,08013,Residencial,No consta,7610
2023,2023-01-01,08013,Serveis,De 00:00:00 a 05:59:59 h,16538
2023,2023-01-01,08013,Serveis,De 06:00:00 a 11:59:59 h,18140
2023,2023-01-01,08013,Serveis,De 12:00:00 a 17:59:59 h,21665
2023,2023-01-01,08013,Serveis,De 18:00:00 a 23:59:59 h,22121
2023,2023-01-01,08013,Serveis,No consta,1119
2023,2023-01-01,08014,Indústria,De 00:00:00 a 05:59:59 h,2020
2023,2023-01-01,08014,Indústria,De 06:00:00 a 11:59:59 h,2061
2023,2023-01-01,08014,Indústria,De 12:00:00 a 17:59:59 h,2098
2023,2023-01-01,08014,Indústria,De 18:00:00 a 23:59:59 h,2342
2023,2023-01-01,08014,Indústria,No consta,75
2023,2023-01-01,08014,No especificat,De 00:00:00 a 05:59:59 h,1031
2023,2023-01-01,08014,No especificat,De 06:00:00 a 11:59:59 h,1062
2023,2023-01-01,08014,No especificat,De 12:00:00 a 17:59:59 h,1082
2023,2023-01-01,08014,No especificat,De 18:00:00 a 23:59:59 h,1055
2023,2023-01-01,08014,No especificat,No consta,2
2023,2023-01-01,08014,Residencial,De 00:00:00 a 05:59:59 h,35654
2023,2023-01-01,08014,Residencial,De 06:00:00 a 11:59:59 h,37168
2023,2023-01-01,08014,Residencial,De 12:00:00 a 17:59:59 h,57761
2023,2023-01-01,08014,Residencial,De 18:00:00 a 23:59:59 h,63295
2023,2023-01-01,08014,Residencial,No consta,8059
2023,2023-01-01,08014,Serveis,De 00:00:00 a 05:59:59 h,47546
2023,2023-01-01,08014,Serveis,De 06:00:00 a 11:59:59 h,48098
2023,2023-01-01,08014,Serveis,De 12:00:00 a 17:59:59 h,53606
2023,2023-01-01,08014,Serveis,De 18:00:00 a 23:59:59 h,53823
2023,2023-01-01,08014,Serveis,No consta,1242
2023,2023-01-01,08015,Indústria,De 00:00:00 a 05:59:59 h,1516
2023,2023-01-01,08015,Indústria,De 06:00:00 a 11:59:59 h,1564
2023,2023-01-01,08015,Indústria,De 12:00:00 a 17:59:59 h,1730
2023,2023-01-01,08015,Indústria,De 18:00:00 a 23:59:59 h,1851
2023,2023-01-01,08015,Indústria,No consta,104
2023,2023-01-01,08015,No especificat,De 00:00:00 a 05:59:59 h,9
2023,2023-01-01,08015,No especificat,De 06:00:00 a 11:59:59 h,12
2023,2023-01-01,08015,No especificat,De 12:00:00 a 17:59:59 h,12
2023,2023-01-01,08015,No especificat,De 18:00:00 a 23:59:59 h,16
2023,2023-01-01,08015,No especificat,No consta,0
2023,2023-01-01,08015,Residencial,De 00:00:00 a 05:59:59 h,39891
2023,2023-01-01,08015,Residencial,De 06:00:00 a 11:59:59 h,41652
2023,2023-01-01,08015,Residencial,De 12:00:00 a 17:59:59 h,62542
2023,2023-01-01,08015,Residencial,De 18:00:00 a 23:59:59 h,67507
2023,2023-01-01,08015,Residencial,No consta,8901
2023,2023-01-01,08015,Serveis,De 00:00:00 a 05:59:59 h,46972
2023,2023-01-01,08015,Serveis,De 06:00:00 a 11:59:59 h,46354
2023,2023-01-01,08015,Serveis,De 12:00:00 a 17:59:59 h,54142
2023,2023-01-01,08015,Serveis,De 18:00:00 a 23:59:59 h,55672
2023,2023-01-01,08015,Serveis,No consta,1452
2023,2023-01-01,08016,Indústria,De 00:00:00 a 05:59:59 h,672
2023,2023-01-01,08016,Indústria,De 06:00:00 a 11:59:59 h,643
2023,2023-01-01,08016,Indústria,De 12:00:00 a 17:59:59 h,657
2023,2023-01-01,08016,Indústria,De 18:00:00 a 23:59:59 h,692
2023,2023-01-01,08016,Indústria,No consta,41
2023,2023-01-01,08016,Residencial,De 00:00:00 a 05:59:59 h,26614
2023,2023-01-01,08016,Residencial,De 06:00:00 a 11:59:59 h,28090
2023,2023-01-01,08016,Residencial,De 12:00:00 a 17:59:59 h,45196
2023,2023-01-01,08016,Residencial,De 18:00:00 a 23:59:59 h,47599
2023,2023-01-01,08016,Residencial,No consta,6123
2023,2023-01-01,08016,Serveis,De 00:00:00 a 05:59:59 h,13262
2023,2023-01-01,08016,Serveis,De 06:00:00 a 11:59:59 h,13186
2023,2023-01-01,08016,Serveis,De 12:00:00 a 17:59:59 h,14846
2023,2023-01-01,08016,Serveis,De 18:00:00 a 23:59:59 h,16676
2023,2023-01-01,08016,Serveis,No consta,818
2023,2023-01-01,08017,Indústria,De 00:00:00 a 05:59:59 h,1283
2023,2023-01-01,08017,Indústria,De 06:00:00 a 11:59:59 h,1332
2023,2023-01-01,08017,Indústria,De 12:00:00 a 17:59:59 h,1290
2023,2023-01-01,08017,Indústria,De 18:00:00 a 23:59:59 h,1417
2023,2023-01-01,08017,Indústria,No consta,71
2023,2023-01-01,08017,No especificat,De 00:00:00 a 05:59:59 h,116
2023,2023-01-01,08017,No especificat,De 06:00:00 a 11:59:59 h,116
2023,2023-01-01,08017,No especificat,De 12:00:00 a 17:59:59 h,119
2023,2023-01-01,08017,No especificat,De 18:00:00 a 23:59:59 h,141
2023,2023-01-01,08017,No especificat,No consta,1
2023,2023-01-01,08017,Residencial,De 00:00:00 a 05:59:59 h,28904
2023,2023-01-01,08017,Residencial,De 06:00:00 a 11:59:59 h,29476
2023,2023-01-01,08017,Residencial,De 12:00:00 a 17:59:59 h,38510
2023,2023-01-01,08017,Residencial,De 18:00:00 a 23:59:59 h,44618
2023,2023-01-01,08017,Residencial,No consta,5272
2023,2023-01-01,08017,Serveis,De 00:00:00 a 05:59:59 h,28529
2023,2023-01-01,08017,Serveis,De 06:00:00 a 11:59:59 h,30182
2023,2023-01-01,08017,Serveis,De 12:00:00 a 17:59:59 h,32345
2023,2023-01-01,08017,Serveis,De 18:00:00 a 23:59:59 h,33156
2023,2023-01-01,08017,Serveis,No consta,927
